"","Material","MaterialKey","MaterialType","MaterialDescription","Product Category","Component"
"1","EVCB-001",1,"Finished Product","EV Car Battery","EV Car Battery - FP","None"
"2","HB-001",2,"Finished Product","Home Battery","EV Home Battery - FP","None"
"3","BC-001",3,"Semi-Finished Product","Battery Cells","Battery Cells","Battery Cells"
"4","BMS-001",4,"Semi-Finished Product","Battery Management System (BMS)","Battery Management System (BMS)","Battery Management System (BMS)"
"5","C-001",5,"Semi-Finished Product","Connector ABC","Wiring and Connectors","Connectors"
"6","C-002",6,"Semi-Finished Product","Connector XYZ","Wiring and Connectors","Connectors"
"7","CC-001",7,"Semi-Finished Product","Charge Controller","Charge Controller","Charge Controller"
"8","CF-001",8,"Semi-Finished Product","Cooling Fan ABC","Thermal Management System","Cooling Fans"
"9","CF-002",9,"Semi-Finished Product","Cooling Fan XYZ","Thermal Management System","Cooling Fans"
"10","ECB-001",10,"Semi-Finished Product","Enclose Car Battery","Enclosure","Enclose Car Battery"
"11","EHB-001",11,"Semi-Finished Product","Enclosure Home Battery","Enclosure","Enclosure Home Battery"
"12","F-001",12,"Semi-Finished Product","Fuse ABC","Miscellaneous","Fuses"
"13","F-002",13,"Semi-Finished Product","Fuse DEF","Miscellaneous","Fuses"
"14","F-003",14,"Semi-Finished Product","Fuse XYZ","Miscellaneous","Fuses"
"15","HE-001",15,"Semi-Finished Product","Heat Exchanger ABC","Thermal Management System","Heat Exchangers"
"16","HE-002",16,"Semi-Finished Product","Heat Exchanger XYZ","Thermal Management System","Heat Exchangers"
"17","IM-001",17,"Semi-Finished Product","Insulation Material ABC","Insulation Materials","Insulation Materials"
"18","IM-002",18,"Semi-Finished Product","Insulation Material DEF","Insulation Materials","Insulation Materials"
"19","IM-003",19,"Semi-Finished Product","Insulation Material XYZ","Insulation Materials","Insulation Materials"
"20","IN-001",20,"Semi-Finished Product","Inverter","Inverter","Inverter"
"21","MS-001",21,"Semi-Finished Product","Monitoring system","Monitoring system","Monitoring system"
"22","OEC-001",22,"Semi-Finished Product","Electrical Material 1","Miscellaneous","Other Electrical Components"
"23","OEC-002",23,"Semi-Finished Product","Electrical Material 2","Miscellaneous","Other Electrical Components"
"24","OEC-003",24,"Semi-Finished Product","Electrical Material 3","Miscellaneous","Other Electrical Components"
"25","OEC-004",25,"Semi-Finished Product","Electrical Material 4","Miscellaneous","Other Electrical Components"
"26","OEC-005",26,"Semi-Finished Product","Electrical Material 5","Miscellaneous","Other Electrical Components"
"27","R-001",27,"Semi-Finished Product","Relay 1","Miscellaneous","Relays"
"28","R-002",28,"Semi-Finished Product","Relay 2","Miscellaneous","Relays"
"29","R-003",29,"Semi-Finished Product","Relay 3","Miscellaneous","Relays"
"30","TS-001",30,"Semi-Finished Product","Temperature Sensor ABC","Thermal Management System","Temperature Sensors"
"31","TS-002",31,"Semi-Finished Product","Temperature Sensor XYZ","Thermal Management System","Temperature Sensors"
"32","W-001",32,"Semi-Finished Product","Wireset ABC","Wiring and Connectors","Wires"
"33","W-002",33,"Semi-Finished Product","Wireset XYZ","Wiring and Connectors","Wires"
